key,en,ru
StartPhrase,,Вот и закончилась моя смена. Корабль уже наверняка ждёт. Скоро я буду дома!
AddedBattery,Shit shit fuck fuck,"Кто знает, что может пригодиться в пути..."
NoLighter,,"Зажечь нечем. Кажется, я оставил свою зажигалку в пещере у реки..."
NoAxe,,"Здесь мне нужен топор. Думаю, его можно найти на лесопилке в лесу."
BrokenPlate,,"Еще одна жертва метели. Да уж, теперь эта штука не поможет мне связаться с остальными..."
EmptyPort,,"Нет-нет-нет, корабль уже отчалил! Мне нужно срочно связаться с ним и сообщить, что я все ещё здесь!"
NoBatteries,,"Кажется, не хватает питания. Нужно найти еще батарейки. Если искать в зданиях - наверняка найду."
Lantern,,"Хорошо, что у меня есть фонарь. Без него бы я сейчас тут совсем потерялся."
NoLantern,,"Без фонаря совсем туго. Слышал, у смотрителя маяка есть такой. По крайней мере, был..."
NoKey,,Без ключа эту дверь не открыть...
NoShovel,,Руками я это не откопаю. Без какой-никакой лопаты не обойтись...
Snowstorm,,"Ну и метель...нужно постараться не замерзнуть насмерть, пока добираюсь до корабля.."
TooMuchLogs,,Я столько не унесу...
NoLogs,,Мне нечего пилить...
NoPlanks,,"Нет нужных материалов...думаю, могу сделать их на лесопилке"
